source_key,source_role,url,content_type_hint,required_terms,source_note
bgd_official_ambient_air_quality_pdf,official_candidate_source,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,pdf,"DoE, Agargaon, Dhaka||Darus-Salam, Mirpur||90.372617||23.782167||90.355783","Bangladesh Department of Environment ambient air quality report; official source for the CAMS-1 and CAMS-3 coordinates."
idn_bmkg_pm25_portal,official_candidate_source,https://www.bmkg.go.id/kualitas-udara/pm25,html,"PM2.5||BMKG","BMKG public PM2.5 portal; official source family for the Talang Betutu Palembang row."
idn_bmkg_pm25_detail,official_candidate_source,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_kmy3,html,"Talang Betutu Palembang||pm25_pl3||PM25","BMKG PM2.5 detail page; Nuxt payload includes the station list parsed by the official station-source extraction script."
mys_myeqms_feature_api,official_candidate_source,https://eqms.doe.gov.my/api3/publicmapproxy/PUBLIC_DISPLAY/CAQM_MCAQM_Current_Reading/MapServer/0/query?where=1%3D1&outFields=%2A&returnGeometry=true&f=json,json,"CA40C||CA19B||CA16W||PM25_CONC","Malaysia DOE MyEQMS public ArcGIS feature API; official source for the three Malaysia current-reading station rows."
uzb_official_monitoring_map,official_candidate_source,https://monitoring.meteo.uz/en/map,html,"РОР №23 - Tashkent||66 stationary pollution observation points||23 automatic stations","Uzhydromet public monitoring map; official source context for the POP #23 row."
airgradient_openaq_share_guidance,source_owner_context,https://www.airgradient.com/blog/share-data-with-openaq/,html,"OpenAQ||outdoor air quality||public name||coordinates","AirGradient public guidance on sharing monitor data with OpenAQ; provider context for AirGradient-owned public-feed rows."
openaq_airgradient_partner_profile,openaq_provider_context,https://openaq.medium.com/openaq-welcomes-airgradient-a-new-data-sharing-partnership-82b17d3ee563,html,"AirGradient||OpenAQ||data-sharing collaboration||open access","OpenAQ partner profile for AirGradient; context for why AirGradient public-feed rows appear in OpenAQ."
clarity_kl_hyperlocal_source,source_owner_context,https://www.clarity.io/blog/kuala-lumpur-deploys-hyperlocal-air-quality-monitoring-network-at-wuf9,html,"Bukit Bintang||Clarity Nodes||Kuala Lumpur","Clarity public write-up naming Bukit Bintang as a hyperlocal node; context for the Clarity Bukit Bintang public-feed row."
smart_air_bangladesh_sensor_page,source_owner_context,https://smartairfilters.com/bd/en/air-quality-monitors/,html,"Smart Air Bangladesh||outdoor air quality sensors||Dhaka","Smart Air Bangladesh page describing outdoor sensor deployment in Dhaka; context for the Smart Air Bangladesh OpenAQ location."
kopernik_air_quality_project_context,source_owner_context,https://kopernik.info/en/news-events/news/kopernik-partners-with-islamic-development-bank-to-deliver-community-air-quality-monitoring-project,html,"Kopernik||air quality||Community Air Quality Monitoring","Kopernik public context for community air-quality monitoring in Indonesia; context for the Kopernik-owned public-feed row."
