generated_at,attestation_chain,status,method,decision_ledger_id,method_evidence_id,iso3,country,source_station_id,source_station_name,source_station_type,row_evidence_lane,exact_official_row_found,exact_station_code_or_id_source_found,pm25_row_or_equipment_listed,row_level_instrument_hint,station_method_context_present,station_code_context_present,station_specific_context_present,operating_or_current_context_present,status_or_certification_context_present,calibration_or_maintenance_context_present,raw_value_sanity_issue_present,test_mode_or_blocker_present,stale_or_sentinel_blocker_present,station_method_table_found,calibration_status_available,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,decision_lane,minimum_public_evidence_needed,source_threads,reader_use,non_claim
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-blocked_test_mode_or_stale_sentinel-01005,GEO-row_level_pm25_portal_or_api-01005,GEO,Georgia,01005,Tazakendi (working in test mode),air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,blocked_test_mode_or_stale_sentinel,"A public station-owner or regulator row that clears the test-mode, stale-detail, updating-data, or sentinel-value blocker and states current operating status.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,Use as an exclusion or hold row. The evidence identifies a source blocker before any grade or radius assumption.,"This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-AGMS,GEO-row_level_pm25_portal_or_api-AGMS,GEO,Georgia,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-BTUM,GEO-row_level_pm25_portal_or_api-BTUM,GEO,Georgia,BTUM,Batumi - T. Abuseridze Street №1,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-KUTS,GEO-row_level_pm25_portal_or_api-KUTS,GEO,Georgia,KUTS,Kutaisi - Lado Asatiani St.№98,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-KZBG,GEO-row_level_pm25_portal_or_api-KZBG,GEO,Georgia,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-ORN01,GEO-row_level_pm25_portal_or_api-ORN01,GEO,Georgia,ORN01,Tbilisi - Marshal Gelovani Avenue №34,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-ORN02,GEO-row_level_pm25_portal_or_api-ORN02,GEO,Georgia,ORN02,Rustavi - Friendship Ave. №35a,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-ORN03,GEO-row_level_pm25_portal_or_api-ORN03,GEO,Georgia,ORN03,"Batumi - Batumi Central Park, 6 May Park",air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-ORN04,GEO-row_level_pm25_portal_or_api-ORN04,GEO,Georgia,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
2026-06-19T14:55:01Z,ai-first,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,GEO-station_code_context_not_grade_ready-ORN05,GEO-row_level_pm25_portal_or_api-ORN05,GEO,Georgia,ORN05,Zugdidi - Rustaveli Street №192,air.gov.ge hourly station,row_level_pm25_portal_or_api,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,station_code_context_not_grade_ready,"A station-code method table or station-owner/regulator source that names the instrument/method class, current status, and grade basis for this exact station code.",station_code_status_method_source_scan|indonesia_georgia_row_method_source_scan,"Use as a high-value method follow-up. Exact station-code context is available, but grade fields are still absent.","This decision ledger summarizes row-level evidence gates from committed source scans. It does not certify current station status, complete monitor-grade classification, same-station joins, or station-radius population coverage."
